Month,Years Since Epoch (t),Region,Max NDVI,Mean NDVI,Min NDVI
04/20,50.287,d'Andohahela,0.996,0.799,0.127
04/20,50.287,Midongy Betofaka,0.955,0.783,-0.514
04/20,50.287,Tsimanampetsotsa,0.844,0.401,-0.964
04/20,50.287,d'Ankarafantsika,0.927,0.759,-0.237
04/20,50.287,Masoala,0.984,0.371,-0.997
04/20,50.287,Alan'Ankirisa,0.905,0.6,-0.504
05/20,50.369,d'Andohahela,0.992,0.777,-0.056
05/20,50.369,Midongy Betofaka,0.936,0.82,-0.521
05/20,50.369,Tsimanampetsotsa,0.995,0.391,-0.999
05/20,50.369,d'Ankarafantsika,0.915,0.712,-0.346
05/20,50.369,Masoala,0.999,0.536,-0.995
05/20,50.369,Alan'Ankirisa,0.926,0.555,-0.613
06/20,50.454,d'Andohahela,0.968,0.759,-0.084
06/20,50.454,Midongy Betofaka,0.919,0.802,-0.471
06/20,50.454,Tsimanampetsotsa,0.996,0.365,-0.999
06/20,50.454,d'Ankarafantsika,0.915,0.677,-0.291
06/20,50.454,Masoala,0.997,0.458,-0.946
06/20,50.454,Alan'Ankirisa,0.917,0.502,-0.645
07/20,50.536,d'Andohahela,0.998,0.741,-0.056
07/20,50.536,Midongy Betofaka,0.995,0.794,-0.499
07/20,50.536,Tsimanampetsotsa,0.989,0.316,-0.999
07/20,50.536,d'Ankarafantsika,0.915,0.647,-0.114
07/20,50.536,Masoala,0.999,0.457,-0.928
07/20,50.536,Alan'Ankirisa,0.918,0.424,-0.689
08/20,50.621,d'Andohahela,0.92,0.69,-0.151
08/20,50.621,Midongy Betofaka,0.946,0.763,-0.427
08/20,50.621,Tsimanampetsotsa,0.832,0.238,-0.887
08/20,50.621,d'Ankarafantsika,0.917,0.577,-0.009
08/20,50.621,Masoala,0.999,0.306,-0.997
08/20,50.621,Alan'Ankirisa,0.875,0.358,-0.59
09/20,50.706,d'Andohahela,0.9,0.672,-0.124
09/20,50.706,Midongy Betofaka,0.878,0.715,-0.506
09/20,50.706,Tsimanampetsotsa,0.826,0.224,-0.999
09/20,50.706,d'Ankarafantsika,0.852,0.495,-0.014
09/20,50.706,Masoala,0.999,0.447,-0.996
09/20,50.706,Alan'Ankirisa,0.842,0.305,-0.55
10/20,50.788,d'Andohahela,0.899,0.655,-0.002
10/20,50.788,Midongy Betofaka,0.894,0.731,-0.409
10/20,50.788,Tsimanampetsotsa,0.806,0.196,-0.999
10/20,50.788,d'Ankarafantsika,0.995,0.645,-0.093
10/20,50.788,Masoala,0.992,0.515,-0.995
10/20,50.788,Alan'Ankirisa,0.836,0.306,-0.418
11/20,50.873,d'Andohahela,0.912,0.673,0.007
11/20,50.873,Midongy Betofaka,0.899,0.719,-0.287
11/20,50.873,Tsimanampetsotsa,0.768,0.192,-0.999
11/20,50.873,d'Ankarafantsika,0.889,0.597,-0.193
11/20,50.873,Masoala,0.981,0.561,-0.998
11/20,50.873,Alan'Ankirisa,0.835,0.294,-0.366
12/20,50.955,d'Andohahela,0.93,0.679,-0.053
12/20,50.955,Midongy Betofaka,0.928,0.726,-0.451
12/20,50.955,Tsimanampetsotsa,0.941,0.21,-0.999
12/20,50.955,d'Ankarafantsika,0.926,0.687,-0.237
12/20,50.955,Masoala,0.998,0.498,-0.997
12/20,50.955,Alan'Ankirisa,0.957,0.423,-0.376
01/21,51.04,d'Andohahela,0.936,0.696,-0.276
01/21,51.04,Midongy Betofaka,0.92,0.787,-0.592
01/21,51.04,Tsimanampetsotsa,0.926,0.255,-0.999
01/21,51.04,d'Ankarafantsika,0.997,0.712,-0.296
01/21,51.04,Masoala,0.995,0.494,-0.992
01/21,51.04,Alan'Ankirisa,0.931,0.635,-0.712
02/21,51.125,d'Andohahela,0.945,0.712,-0.384
02/21,51.125,Midongy Betofaka,0.936,0.783,-0.565
02/21,51.125,Tsimanampetsotsa,0.909,0.307,-0.989
02/21,51.125,d'Ankarafantsika,0.999,0.699,-0.099
02/21,51.125,Masoala,0.997,0.431,-0.997
02/21,51.125,Alan'Ankirisa,0.923,0.711,-0.489
03/21,51.202,d'Andohahela,0.939,0.762,-0.1
03/21,51.202,Midongy Betofaka,0.983,0.788,-0.748
03/21,51.202,Tsimanampetsotsa,0.879,0.424,-0.931
03/21,51.202,d'Ankarafantsika,0.996,0.769,-0.397
03/21,51.202,Masoala,0.999,0.529,-0.992
03/21,51.202,Alan'Ankirisa,0.936,0.7,-0.745
04/21,51.286,d'Andohahela,0.978,0.767,0.072
04/21,51.286,Midongy Betofaka,0.973,0.812,-0.635
04/21,51.286,Tsimanampetsotsa,0.999,0.407,-0.999
04/21,51.286,d'Ankarafantsika,0.934,0.748,-0.274
04/21,51.286,Masoala,0.998,0.537,-0.994
04/21,51.286,Alan'Ankirisa,0.906,0.62,-0.599
05/21,51.369,d'Andohahela,0.956,0.751,-0.026
05/21,51.369,Midongy Betofaka,0.926,0.807,-0.466
05/21,51.369,Tsimanampetsotsa,0.999,0.402,-0.999
05/21,51.369,d'Ankarafantsika,0.904,0.688,-0.356
05/21,51.369,Masoala,0.999,0.55,-0.993
05/21,51.369,Alan'Ankirisa,0.874,0.54,-0.583
06/21,51.453,d'Andohahela,0.998,0.768,-0.066
06/21,51.453,Midongy Betofaka,0.997,0.815,-0.545
06/21,51.453,Tsimanampetsotsa,0.999,0.371,-0.999
06/21,51.453,d'Ankarafantsika,0.92,0.664,-0.299
06/21,51.453,Masoala,0.999,0.383,-0.995
06/21,51.453,Alan'Ankirisa,0.882,0.49,-0.631
07/21,51.536,d'Andohahela,0.999,0.756,-0.11
07/21,51.536,Midongy Betofaka,0.997,0.785,-0.51
07/21,51.536,Tsimanampetsotsa,0.999,0.319,-0.999
07/21,51.536,d'Ankarafantsika,0.912,0.616,-0.034
07/21,51.536,Masoala,0.999,0.483,-0.998
07/21,51.536,Alan'Ankirisa,0.907,0.439,-0.791
08/21,51.62,d'Andohahela,0.931,0.701,-0.032
08/21,51.62,Midongy Betofaka,0.916,0.746,-0.504
08/21,51.62,Tsimanampetsotsa,0.893,0.242,-0.997
08/21,51.62,d'Ankarafantsika,0.919,0.539,-0.157
08/21,51.62,Masoala,0.999,0.491,-0.989
08/21,51.62,Alan'Ankirisa,0.862,0.343,-0.63
09/21,51.705,d'Andohahela,0.91,0.68,-0.037
09/21,51.705,Midongy Betofaka,0.895,0.724,-0.527
09/21,51.705,Tsimanampetsotsa,0.856,0.207,-0.95
09/21,51.705,d'Ankarafantsika,0.921,0.473,-0.001
09/21,51.705,Masoala,0.997,0.479,-0.996
09/21,51.705,Alan'Ankirisa,0.874,0.311,-0.713
10/21,51.788,d'Andohahela,0.91,0.63,-0.022
10/21,51.788,Midongy Betofaka,0.887,0.702,-0.571
